peak_frame,class_frame,time_s,front,toe_x,toe_y,heel_x,heel_y
3,1,0.1001,right,0.4726457595825195,0.7619585990905762,0.4316343665122986,0.7776851654052734
77,74,2.569233333333333,left,0.4859279692173004,0.7446229457855225,0.4458809196949005,0.756106972694397
137,134,4.571233333333334,right,0.521527111530304,0.7350902557373047,0.4819775223731994,0.7599478960037231
149,146,4.971633333333333,right,0.4961325526237488,0.773044764995575,0.4419254958629608,0.7694888114929199
209,206,6.973633333333334,left,0.5198159217834473,0.7349547147750854,0.4756207168102264,0.750948429107666
269,266,8.975633333333333,right,0.5379292368888855,0.7252212166786194,0.4984301328659057,0.7499382495880127
333,330,11.1111,left,0.5368516445159912,0.7050591707229614,0.4968690276145935,0.7341393232345581
396,393,13.2132,right,0.5349685549736023,0.713354229927063,0.4976949393749237,0.7415011525154114
460,457,15.348666666666666,left,0.5271864533424377,0.6903807520866394,0.4893094897270202,0.7259241342544556
526,523,17.550866666666668,right,0.5190460681915283,0.7111886739730835,0.4813024997711181,0.7304421663284302
591,588,19.7197,left,0.5273623466491699,0.7037381529808044,0.4893935024738312,0.7343576550483704
