peak_frame,class_frame,time_s,front,contact_type,separation,toe_heel_contact,toe_x,toe_y,heel_x,heel_y,ankle_x,ankle_y,foot_length,threshold,vertical_diff,ankle_heel_offset
3,1,0.1001,right,Heel,0.1392593383789062,Heel,0.4726457595825195,0.7619585990905762,0.4316343665122986,0.7776851654052734,0.4351100921630859,0.7499908208847046,0.04392333377159267,0.01,-0.015726566314697266,-0.027694344520568848
77,74,2.569233333333333,left,Heel,0.1315041482448578,Heel,0.4859279692173004,0.7446229457855225,0.4458809196949005,0.756106972694397,0.4502486288547516,0.7271096706390381,0.041661121558274256,0.01,-0.011484026908874512,-0.028997302055358887
137,134,4.571233333333334,right,Heel,0.1422780156135559,Heel,0.521527111530304,0.7350902557373047,0.4819775223731994,0.7599478960037231,0.4852497279644012,0.7332187294960022,0.0467126565516288,0.01,-0.024857640266418457,-0.026729166507720947
149,146,4.971633333333333,right,Flat,0.11799812316894531,Flat,0.4961325526237488,0.773044764995575,0.4419254958629608,0.7694888114929199,0.4490048289299011,0.7413493394851685,0.05432356586215906,0.01,0.0035559535026550293,-0.028139472007751465
209,206,6.973633333333334,left,Heel,0.13134807348251343,Heel,0.5198159217834473,0.7349547147750854,0.4756207168102264,0.750948429107666,0.4790011048316955,0.7208200693130493,0.04700016000799572,0.01,-0.015993714332580566,-0.0301283597946167
269,266,8.975633333333333,right,Heel,0.1416482329368592,Heel,0.5379292368888855,0.7252212166786194,0.4984301328659057,0.7499382495880127,0.5006037950515747,0.7178663611412048,0.0465951814511137,0.01,-0.02471703290939331,-0.03207188844680786
333,330,11.1111,left,Heel,0.13712221384048456,Heel,0.5368516445159912,0.7050591707229614,0.4968690276145935,0.7341393232345581,0.4970720410346985,0.7036347985267639,0.04943950772794624,0.01,-0.02908015251159668,-0.03050452470779419
396,393,13.2132,right,Heel,0.14014565944671625,Heel,0.5349685549736023,0.713354229927063,0.4976949393749237,0.7415011525154114,0.499664157629013,0.711459755897522,0.046707297834412694,0.01,-0.02814692258834839,-0.030041396617889404
460,457,15.348666666666666,left,Heel,0.13809087872505182,Heel,0.5271864533424377,0.6903807520866394,0.4893094897270202,0.7259241342544556,0.4889169931411743,0.6935397386550903,0.05194224088977194,0.01,-0.03554338216781616,-0.032384395599365234
526,523,17.550866666666668,right,Heel,0.14002791047096252,Heel,0.5190460681915283,0.7111886739730835,0.4813024997711181,0.7304421663284302,0.4833148717880249,0.6998971700668335,0.04237067293522231,0.01,-0.01925349235534668,-0.03054499626159668
591,588,19.7197,left,Heel,0.1435991525650025,Heel,0.5273623466491699,0.7037381529808044,0.4893935024738312,0.7343576550483704,0.4901090264320373,0.7033248543739319,0.04877691087878391,0.01,-0.030619502067565918,-0.031032800674438477
