peak_frame,class_frame,time_s,front,contact_type,vertical_diff
3,1,0.1001,right,Heel,-0.015726566314697266
77,74,2.569233333333333,left,Heel,-0.011484026908874512
137,134,4.571233333333334,right,Heel,-0.024857640266418457
149,146,4.971633333333333,right,Flat,0.0035559535026550293
209,206,6.973633333333334,left,Heel,-0.015993714332580566
269,266,8.975633333333333,right,Heel,-0.02471703290939331
333,330,11.1111,left,Heel,-0.02908015251159668
396,393,13.2132,right,Heel,-0.02814692258834839
460,457,15.348666666666666,left,Heel,-0.03554338216781616
526,523,17.550866666666668,right,Heel,-0.01925349235534668
591,588,19.7197,left,Heel,-0.030619502067565918
